date,leading_indicator,coincident_indicator,lagging_indicator,MSCI_EMI,MSCI_IMI,MSCI_ACWI,JSE_ALSI
2005-01-03,94.73,72.48,102.14,3059.74,0.0,3756.57,12784.34
2005-01-04,94.73,72.48,102.14,3106.77,0.0,3835.39,12714.52
2005-01-05,94.73,72.48,102.14,3106.56,0.0,3865.07,12677.71
2005-01-06,94.73,72.48,102.14,3162.67,0.0,3985.55,12800.52
2005-01-07,94.73,72.48,102.14,3157.87,0.0,3966.4,12714.89
2005-01-10,94.73,72.48,102.14,3113.43,0.0,3919.27,12663.45
2005-01-11,94.73,72.48,102.14,3101.9,0.0,3881.59,12664.89
2005-01-12,94.73,72.48,102.14,3096.97,0.0,3887.78,12724.79
2005-01-13,94.73,72.48,102.14,3160.5,0.0,3927.2,12754.53
2005-01-14,94.73,72.48,102.14,3185.85,0.0,3945.18,12782.27
2005-01-17,94.73,72.48,102.14,3198.08,0.0,3942.85,12707.74
2005-01-18,94.73,72.48,102.14,3207.66,0.0,3991.51,12609.72
2005-01-19,94.73,72.48,102.14,3192.34,0.0,3949.6,12511.85
2005-01-20,94.73,72.48,102.14,3166.92,0.0,3919.43,12469.56
2005-01-21,94.73,72.48,102.14,3126.67,0.0,3853.49,12497.84
2005-01-24,94.73,72.48,102.14,3123.05,0.0,3834.38,12530.3
2005-01-25,94.73,72.48,102.14,3139.43,0.0,3851.24,12517.66
2005-01-26,94.73,72.48,102.14,3154.14,0.0,3866.9,12607.42
2005-01-27,94.73,72.48,102.14,3157.77,0.0,3865.25,12710.04
2005-01-28,94.73,72.48,102.14,3182.09,0.0,3868.62,12699.81
2005-01-31,94.73,72.48,102.14,3246.91,0.0,3933.82,12798.55
2005-02-01,94.74,72.69,102.51,3249.64,0.0,3958.5,12957.44
2005-02-02,94.74,72.69,102.51,3263.3,0.0,3980.81,12957.71
2005-02-03,94.74,72.69,102.51,3335.92,0.0,4032.83,13016.6
2005-02-04,94.74,72.69,102.51,3379.21,0.0,4099.11,13002.21
2005-02-07,94.74,72.69,102.51,3430.26,0.0,4142.53,13046.67
2005-02-08,94.74,72.69,102.51,3442.91,0.0,4164.27,13083.46
2005-02-09,94.74,72.69,102.51,3434.39,0.0,4117.56,13107.5
2005-02-10,94.74,72.69,102.51,3364.6,0.0,4058.79,13086.46
2005-02-11,94.74,72.69,102.51,3371.49,0.0,4076.2,13085.19
2005-02-14,94.74,72.69,102.51,3367.02,0.0,4038.11,13132.42
2005-02-15,94.74,72.69,102.51,3348.11,0.0,4014.91,13089.28
2005-02-16,94.74,72.69,102.51,3351.33,0.0,4014.53,13181.08
2005-02-17,94.74,72.69,102.51,3336.03,0.0,3978.33,13259.76
2005-02-18,94.74,72.69,102.51,3338.6,0.0,3968.26,13302.62
2005-02-21,94.74,72.69,102.51,3354.49,0.0,3980.15,13346.39
2005-02-22,94.74,72.69,102.51,3293.79,0.0,3859.63,13250.01
2005-02-23,94.74,72.69,102.51,3299.06,0.0,3864.48,13232.91
2005-02-24,94.74,72.69,102.51,3349.19,0.0,3900.51,13308.3
2005-02-25,94.74,72.69,102.51,3358.09,0.0,3921.14,13375.55
2005-02-28,94.74,72.69,102.51,3406.29,0.0,3932.54,13476.59
2005-03-01,94.52,72.9,102.38,3416.99,0.0,3967.61,13488.97
2005-03-02,94.52,72.9,102.38,3415.78,0.0,4003.22,13456.89
2005-03-03,94.52,72.9,102.38,3455.87,0.0,4042.21,13541.02
2005-03-04,94.52,72.9,102.38,3401.11,0.0,4000.22,13634.73
2005-03-07,94.52,72.9,102.38,3422.81,0.0,4011.24,13634.73
2005-03-08,94.52,72.9,102.38,3390.85,0.0,3978.01,13541.47
2005-03-09,94.52,72.9,102.38,3370.03,0.0,3928.39,13564.62
2005-03-10,94.52,72.9,102.38,3387.46,0.0,3976.86,13587.78
2005-03-11,94.52,72.9,102.38,3408.57,0.0,3977.84,13570.88
2005-03-14,94.52,72.9,102.38,3433.46,0.0,4056.27,13595.11
2005-03-15,94.52,72.9,102.38,3465.61,0.0,4151.6,13588.93
2005-03-16,94.52,72.9,102.38,3422.03,0.0,4092.3,13555.05
2005-03-17,94.52,72.9,102.38,3393.98,0.0,4068.5,13703.85
2005-03-18,94.52,72.9,102.38,3403.51,0.0,4074.41,13593.17
2005-03-21,94.52,72.9,102.38,3412.04,0.0,4091.52,13465.53
2005-03-22,94.52,72.9,102.38,3435.61,0.0,4121.94,13465.53
2005-03-23,94.52,72.9,102.38,3393.59,0.0,4105.71,13297.13
2005-03-24,94.52,72.9,102.38,3390.16,0.0,4107.86,13191.47
2005-03-25,94.52,72.9,102.38,3397.61,0.0,4102.35,13199.01
2005-03-28,94.52,72.9,102.38,3444.11,0.0,4176.4,13206.56
2005-03-29,94.52,72.9,102.38,3402.77,0.0,4152.42,13214.1
2005-03-30,94.52,72.9,102.38,3383.71,0.0,4147.74,13176.2
2005-03-31,94.52,72.9,102.38,3424.1,0.0,4148.18,13298.6
2005-04-01,95.98,73.71,102.0,3461.91,0.0,4133.9,13432.14
2005-04-04,95.98,73.71,102.0,3416.06,0.0,4099.88,13272.15
2005-04-05,95.98,73.71,102.0,3399.75,0.0,4097.21,13257.61
2005-04-06,95.98,73.71,102.0,3381.03,0.0,4068.5,13242.36
2005-04-07,95.98,73.71,102.0,3397.83,0.0,4096.9,13216.97
2005-04-08,95.98,73.71,102.0,3406.3,0.0,4088.45,13312.88
2005-04-11,95.98,73.71,102.0,3403.31,0.0,4099.91,13253.8
2005-04-12,95.98,73.71,102.0,3380.54,0.0,4077.51,13173.39
2005-04-13,95.98,73.71,102.0,3390.16,0.0,4059.72,13019.77
2005-04-14,95.98,73.71,102.0,3397.89,0.0,4104.36,13119.26
2005-04-15,95.98,73.71,102.0,3349.97,0.0,4053.05,13075.65
2005-04-18,95.98,73.71,102.0,3298.64,0.0,4038.06,12906.4
2005-04-19,95.98,73.71,102.0,3279.71,0.0,4002.52,12967.44
2005-04-20,95.98,73.71,102.0,3235.0,0.0,3914.16,12897.71
2005-04-21,95.98,73.71,102.0,3245.63,0.0,3954.86,12788.04
2005-04-22,95.98,73.71,102.0,3241.84,0.0,3935.79,12751.37
2005-04-25,95.98,73.71,102.0,3274.95,0.0,3973.28,12779.99
2005-04-26,95.98,73.71,102.0,3291.76,0.0,3953.79,12793.12
2005-04-27,95.98,73.71,102.0,3251.28,0.0,3927.86,12630.21
2005-04-28,95.98,73.71,102.0,3242.1,0.0,3931.15,12467.3
2005-04-29,95.98,73.71,102.0,3221.89,0.0,3929.19,12555.96
2005-04-30,95.98,73.71,102.0,3229.16,0.0,3936.75,12595.77
2005-05-02,96.01,74.43,102.21,3236.43,0.0,3944.31,12635.59
2005-05-03,96.01,74.43,102.21,3245.68,0.0,3958.03,12675.4
2005-05-04,96.01,74.43,102.21,3249.28,0.0,3942.21,12671.1
2005-05-05,96.01,74.43,102.21,3249.75,0.0,3909.64,12809.7
2005-05-06,96.01,74.43,102.21,3304.04,0.0,3957.77,12948.15
2005-05-09,96.01,74.43,102.21,3358.8,0.0,4033.89,13159.5
2005-05-10,96.01,74.43,102.21,3354.53,0.0,4024.14,13087.6
2005-05-11,96.01,74.43,102.21,3344.9,0.0,4038.23,13106.1
2005-05-12,96.01,74.43,102.21,3380.41,0.0,4073.87,13157.2
2005-05-13,96.01,74.43,102.21,3385.0,0.0,4077.16,12954.2
2005-05-16,96.01,74.43,102.21,3413.39,0.0,4126.17,13097.3
2005-05-17,96.01,74.43,102.21,3434.42,0.0,4171.28,13108.3
2005-05-18,96.01,74.43,102.21,3443.15,0.0,4185.89,13268.9
2005-05-19,96.01,74.43,102.21,3475.52,0.0,4209.31,13234.0
2005-05-20,96.01,74.43,102.21,3547.45,0.0,4295.4,13418.3
2005-05-23,96.01,74.43,102.21,3538.39,0.0,4320.61,13483.9
2005-05-24,96.01,74.43,102.21,3570.35,0.0,4346.44,13533.5
2005-05-25,96.01,74.43,102.21,3520.62,0.0,4283.01,13469.5
2005-05-26,96.01,74.43,102.21,3595.5,0.0,4384.66,13705.2
2005-05-27,96.01,74.43,102.21,3605.79,0.0,4359.73,13770.3
2005-05-30,96.01,74.43,102.21,3668.79,0.0,4424.16,13916.3
2005-05-31,96.01,74.43,102.21,3720.66,0.0,4498.44,13787.0
2005-06-01,95.64,75.11,102.86,3765.97,0.0,4596.97,13859.5
2005-06-02,95.64,75.11,102.86,3746.74,0.0,4543.22,13965.3
2005-06-03,95.64,75.11,102.86,3788.14,0.0,4545.12,14020.9
2005-06-06,95.64,75.11,102.86,3715.3,0.0,4467.98,14087.4
2005-06-07,95.64,75.11,102.86,3671.4,0.0,4436.94,13980.3
2005-06-08,95.64,75.11,102.86,3752.91,0.0,4523.04,14000.4
2005-06-09,95.64,75.11,102.86,3720.32,0.0,4500.07,14001.9
2005-06-10,95.64,75.11,102.86,3731.8,0.0,4483.17,14029.1
2005-06-13,95.64,75.11,102.86,3802.45,0.0,4562.39,14223.3
2005-06-14,95.64,75.11,102.86,3836.19,0.0,4603.21,14224.28
2005-06-15,95.64,75.11,102.86,3799.56,0.0,4538.77,14210.7
2005-06-16,95.64,75.11,102.86,3780.33,0.0,4516.38,14268.65
2005-06-17,95.64,75.11,102.86,3810.23,0.0,4548.33,14326.6
2005-06-20,95.64,75.11,102.86,3814.3,0.0,4545.73,14345.6
2005-06-21,95.64,75.11,102.86,3807.01,0.0,4554.67,14311.9
2005-06-22,95.64,75.11,102.86,3840.34,0.0,4562.09,14313.5
2005-06-23,95.64,75.11,102.86,3849.78,0.0,4559.58,14278.4
2005-06-24,95.64,75.11,102.86,3797.75,0.0,4494.42,14103.9
2005-06-27,95.64,75.11,102.86,3743.88,0.0,4430.89,14048.0
2005-06-28,95.64,75.11,102.86,3757.2,0.0,4466.61,14065.8
2005-06-29,95.64,75.11,102.86,3763.56,0.0,4485.78,14183.5
2005-06-30,95.64,75.11,102.86,3761.19,0.0,4468.45,14154.7
2005-07-01,96.57,75.61,102.96,3883.4,0.0,4588.99,14244.1
