date,JSE_ALSI
2005-01-03,12784.34
2005-01-04,12714.52
2005-01-05,12677.71
2005-01-06,12800.52
2005-01-07,12714.89
2005-01-10,12663.45
2005-01-11,12664.89
2005-01-12,12724.79
2005-01-13,12754.53
2005-01-14,12782.27
2005-01-17,12707.74
2005-01-18,12609.72
2005-01-19,12511.85
2005-01-20,12469.56
2005-01-21,12497.84
2005-01-24,12530.3
2005-01-25,12517.66
2005-01-26,12607.42
2005-01-27,12710.04
2005-01-28,12699.81
2005-01-31,12798.55
2005-02-01,12957.44
2005-02-02,12957.71
2005-02-03,13016.6
2005-02-04,13002.21
2005-02-07,13046.67
2005-02-08,13083.46
2005-02-09,13107.5
2005-02-10,13086.46
2005-02-11,13085.19
2005-02-14,13132.42
2005-02-15,13089.28
2005-02-16,13181.08
2005-02-17,13259.76
2005-02-18,13302.62
2005-02-21,13346.39
2005-02-22,13250.01
2005-02-23,13232.91
2005-02-24,13308.3
2005-02-25,13375.55
2005-02-28,13476.59
2005-03-01,13488.97
2005-03-02,13456.89
2005-03-03,13541.02
2005-03-04,13634.73
2005-03-07,13634.73
2005-03-08,13541.47
2005-03-09,13564.625
2005-03-10,13587.78
2005-03-11,13570.88
2005-03-14,13595.11
2005-03-15,13588.93
2005-03-16,13555.05
2005-03-17,13703.85
2005-03-18,13593.17
2005-03-21,13465.53
2005-03-22,13465.53
2005-03-23,13297.13
2005-03-24,13191.47
2005-03-29,13214.1
2005-03-30,13176.2
2005-03-31,13298.6
2005-04-01,13432.14
2005-04-04,13272.15
2005-04-05,13257.61
2005-04-06,13242.36
2005-04-07,13216.97
2005-04-08,13312.88
2005-04-11,13253.8
2005-04-12,13173.39
2005-04-13,13019.77
2005-04-14,13119.26
2005-04-15,13075.65
2005-04-18,12906.4
2005-04-19,12967.44
2005-04-20,12897.71
2005-04-21,12788.04
2005-04-22,12751.37
2005-04-25,12779.99
2005-04-26,12793.12
2005-04-28,12467.3
2005-04-29,12555.96
2005-05-03,12675.4
2005-05-04,12671.1
2005-05-05,12809.7
2005-05-06,12948.15
2005-05-09,13159.5
