date,leading_indicator,coincident_indicator,lagging_indicator
1960-01-31,26.0759429,21.0484504,36.8860358
1960-02-29,26.2232646,21.438981,36.4746327
1960-03-31,25.8976062,21.7261359,35.745327
1960-04-30,25.6417316,21.6572186,35.3339238
1960-05-31,25.5874551,21.852484,35.0908219
1960-06-30,25.4013646,21.7835669,35.5957259
1960-07-31,25.1377362,21.9845752,36.1099799
1960-08-31,24.8120778,21.731879,36.9234361
1960-09-30,24.5639569,21.3930363,37.5779413
1960-10-31,24.3623588,21.0599366,38.5409987
1960-11-30,24.1762682,20.9910194,37.680792
1960-12-31,24.1219918,20.9163592,37.5592412
1961-01-31,24.1995295,20.7670387,37.0075868
1961-02-28,24.2150371,20.7038646,37.6620919
1961-03-31,24.2925748,20.370765,36.642934
1961-04-30,24.2382984,20.0491515,35.8014275
1961-05-31,24.1142379,19.3829523,34.6607186
1961-06-30,23.9281474,18.71101,34.2680156
1961-07-31,23.9359013,18.3089932,33.8659625
1961-08-31,24.1452531,18.0792693,34.062314
1961-09-30,24.5019268,18.0218383,34.4176167
1961-10-31,24.9283843,18.0505538,35.4928751
1961-11-30,25.3393343,18.0792693,35.0908219
1961-12-31,25.4091184,18.2687915,35.2965235
1962-01-31,25.4246259,18.3721672,34.6139682
1962-02-28,25.7812994,18.4870292,34.8009697
1962-03-31,26.3395713,18.4238551,35.1375723
1962-04-30,26.9753808,18.538717,35.4741749
1962-05-31,27.3863308,18.716753,35.9510286
1962-06-30,27.9446025,18.9866786,35.6892267
1962-07-31,28.5028743,19.3370076,36.1660804
1962-08-31,29.0533923,19.60119,35.7733772
1962-09-30,29.6194177,20.1123256,36.5400832
1962-10-31,30.2552273,20.4511684,37.278739
1962-11-30,31.0150971,20.7957542,38.0360948
1962-12-31,31.3795246,20.9737902,37.9145439
1963-01-31,31.4570622,21.0599366,38.3726974
1963-02-28,31.5501076,21.3987793,39.1020031
1963-03-31,31.5578614,21.5595861,39.9715598
1963-04-30,31.9920727,21.9845752,40.8317665
1963-05-31,32.2091784,21.9903184,41.2618698
1963-06-30,32.4960681,22.151125,41.8602745
1963-07-31,32.7907115,22.3980782,42.5615298
1963-08-31,33.2869531,22.6392883,43.1318843
1963-09-30,33.9305163,23.1963687,43.9733908
1963-10-31,34.3492201,23.4318356,43.8424898
1963-11-30,34.6361096,23.9027697,44.253893
1963-12-31,34.8764768,23.9027697,44.4128442
1964-01-31,34.8764768,24.3737036,45.3759016
1964-02-29,35.1788739,24.2128969,45.927556
1964-03-31,35.8767136,24.752748,46.3296091
1964-04-30,36.0395429,24.9078116,46.6101113
1964-05-31,36.3341863,25.4361765,46.8812633
1964-06-30,36.2101259,25.2753698,47.5544685
1964-07-31,36.0860656,25.1203061,48.2276737
1964-08-31,36.1713571,25.4936075,48.3398747
1964-09-30,36.3341863,25.7865055,48.3398747
1964-10-31,36.0783118,26.2287239,47.8069205
1964-11-30,35.3959796,26.7513457,48.1996236
1964-12-31,34.5818333,26.7283733,48.8541287
1965-01-31,34.178637,26.940868,50.0322379
1965-02-28,33.9305163,26.9293818,50.4062407
1965-03-31,33.666888,26.998299,50.1257385
1965-04-30,33.1939077,26.9868128,50.2566396
1965-05-31,32.8604955,26.7456026,50.6399925
1965-06-30,32.4650529,26.584796,50.8737443
1965-07-31,32.2091784,26.4239892,51.2477472
1965-08-31,31.8835198,26.1253482,51.3599481
1965-09-30,31.674168,25.7463038,51.8461519
1965-10-31,31.8292434,25.7348175,51.8368018
1965-11-30,31.9998265,25.6486712,52.2014546
1965-12-31,32.0075803,25.2064526,52.0518535
1966-01-31,32.0230878,24.8388945,51.6591504
1966-02-28,32.3875152,24.9709856,51.1168462
1966-03-31,32.604621,25.0284166,51.1074961
1966-04-30,33.2481841,25.0284166,51.2290471
1966-05-31,33.9615314,24.9365271,51.1916468
1966-06-30,34.6128484,25.4246903,50.9298448
1966-07-31,35.0548135,25.9702846,50.2846897
1966-08-31,35.2021352,26.1655498,50.3875405
1966-09-30,35.6441003,26.5101357,50.4903914
1966-10-31,36.0085277,26.6307407,51.2290471
1966-11-30,36.1636033,26.40676,51.4440987
1966-12-31,36.0395429,26.4527047,51.7994015
1967-01-31,35.7138843,26.5790528,51.2851475
1967-02-28,35.52004,26.9753265,51.2477472
1967-03-31,35.4580098,27.29694,51.350598
1967-04-30,35.4114872,27.5553793,52.0518535
1967-05-31,35.2176428,27.8712497,53.0055608
1967-06-30,34.8764768,27.4462605,53.4543642
1967-07-31,34.5508182,27.2854538,53.678766
1967-08-31,33.8607323,26.7226302,53.155162
1967-09-30,33.4575361,26.4354755,52.2762552
1967-10-31,33.6901493,26.0794034,52.257555
1967-11-30,34.0545767,25.8726519,51.7526511
1967-12-31,34.5663258,26.1770361,52.0892537
1968-01-31,34.9307532,26.3550721,52.4165063
1968-02-29,35.791422,26.7283733,52.9681606
1968-03-31,36.9389807,26.7168871,52.8185594
1968-04-30,38.0245091,26.6939148,52.781159
1968-05-31,39.0324998,26.6020252,53.2206124
1968-06-30,39.6062791,26.9810696,54.2491205
1968-07-31,39.9784602,27.2854538,54.2023701
1968-08-31,40.637531,27.5783517,54.5109226
1968-09-30,41.2966018,27.8138187,53.8938177
1968-10-31,41.668783,27.9229376,54.6792238
1968-11-30,41.7618283,28.1526614,55.6703315
1968-12-31,42.4751755,28.3766422,56.8858409
1969-01-31,43.1420001,28.3536698,57.1943933
1969-02-28,44.0802068,28.7729159,57.4748955
1969-03-31,44.2507899,29.0600707,57.7740978
1969-04-30,44.553187,29.7262701,58.2977019
1969-05-31,44.3670965,30.0019386,58.578204
1969-06-30,44.31282,30.5877345,59.092458
1969-07-31,44.1267295,30.6221931,59.3729601
1969-08-31,44.4989105,31.0184668,59.5506116
1969-09-30,44.8090616,31.1735303,59.9433147
1969-10-31,45.1114588,31.443456,59.990065
1969-11-30,44.9176144,31.5238593,60.5978197
1969-12-31,44.2895587,31.5410886,60.8689718
1970-01-31,43.9639002,31.9316192,61.027923
